die_id,source,row,col,x_um,y_um,cell_name,site,test_enabled,bin,notes
D00130,gds_references,,,19382.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00131,gds_references,,,22906.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00132,gds_references,,,26430.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00133,gds_references,,,29954.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00134,gds_references,,,33478.0,-57575.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00135,gds_references,,,-33478.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00136,gds_references,,,-29954.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00137,gds_references,,,-26430.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00138,gds_references,,,-22906.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00139,gds_references,,,-19382.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00140,gds_references,,,-15858.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00141,gds_references,,,-12334.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00142,gds_references,,,-5286.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00143,gds_references,,,-1762.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00144,gds_references,,,1762.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00145,gds_references,,,5286.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00146,gds_references,,,8810.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00147,gds_references,,,12334.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00148,gds_references,,,15858.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00149,gds_references,,,19382.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00150,gds_references,,,22906.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00151,gds_references,,,29954.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00152,gds_references,,,33478.0,-55930.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00153,gds_references,,,-37002.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00154,gds_references,,,-33478.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
