parent_cell,reference_index,referenced_cell,origin_x_um,origin_y_um,rotation,magnification,x_reflection,columns,rows,spacing_x_um,spacing_y_um,bbox_min_x_um,bbox_min_y_um,bbox_max_x_um,bbox_max_y_um,bbox_width_um,bbox_height_um,bbox_center_x_um,bbox_center_y_um
HPLMP01S1A,140,single_die,-15858.0,-55930.0,0.0,1.0,False,,,,,-17620.0,-56752.5,-14096.0,-55107.5,3524.0,1645.0,-15858.0,-55930.0
HPLMP01S1A,141,single_die,-12334.0,-55930.0,0.0,1.0,False,,,,,-14096.0,-56752.5,-10572.0,-55107.5,3524.0,1645.0,-12334.0,-55930.0
HPLMP01S1A,142,single_die,-5286.0,-55930.0,0.0,1.0,False,,,,,-7048.0,-56752.5,-3524.0,-55107.5,3524.0,1645.0,-5286.0,-55930.0
HPLMP01S1A,143,single_die,-1762.0,-55930.0,0.0,1.0,False,,,,,-3524.0,-56752.5,0.0,-55107.5,3524.0,1645.0,-1762.0,-55930.0
HPLMP01S1A,144,single_die,1762.0,-55930.0,0.0,1.0,False,,,,,0.0,-56752.5,3524.0,-55107.5,3524.0,1645.0,1762.0,-55930.0
HPLMP01S1A,145,single_die,5286.0,-55930.0,0.0,1.0,False,,,,,3524.0,-56752.5,7048.0,-55107.5,3524.0,1645.0,5286.0,-55930.0
HPLMP01S1A,146,single_die,8810.0,-55930.0,0.0,1.0,False,,,,,7048.0,-56752.5,10572.0,-55107.5,3524.0,1645.0,8810.0,-55930.0
HPLMP01S1A,147,single_die,12334.0,-55930.0,0.0,1.0,False,,,,,10572.0,-56752.5,14096.0,-55107.5,3524.0,1645.0,12334.0,-55930.0
HPLMP01S1A,148,single_die,15858.0,-55930.0,0.0,1.0,False,,,,,14096.0,-56752.5,17620.0,-55107.5,3524.0,1645.0,15858.0,-55930.0
HPLMP01S1A,149,single_die,19382.0,-55930.0,0.0,1.0,False,,,,,17620.0,-56752.5,21144.0,-55107.5,3524.0,1645.0,19382.0,-55930.0
HPLMP01S1A,150,single_die,22906.0,-55930.0,0.0,1.0,False,,,,,21144.0,-56752.5,24668.0,-55107.5,3524.0,1645.0,22906.0,-55930.0
HPLMP01S1A,151,single_die,29954.0,-55930.0,0.0,1.0,False,,,,,28192.0,-56752.5,31716.0,-55107.5,3524.0,1645.0,29954.0,-55930.0
HPLMP01S1A,152,single_die,33478.0,-55930.0,0.0,1.0,False,,,,,31716.0,-56752.5,35240.0,-55107.5,3524.0,1645.0,33478.0,-55930.0
HPLMP01S1A,153,single_die,-37002.0,-54285.0,0.0,1.0,False,,,,,-38764.0,-55107.5,-35240.0,-53462.5,3524.0,1645.0,-37002.0,-54285.0
