cell,polygon_index,layer,datatype,point_count,bbox_min_x_um,bbox_min_y_um,bbox_max_x_um,bbox_max_y_um,bbox_width_um,bbox_height_um,bbox_center_x_um,bbox_center_y_um
test_die,180,9,0,105,-322.2,424.071,-307.335,822.5,14.865000000000009,398.429,-314.7675,623.2855
test_die,181,9,0,158,13.138,306.868,37.462,316.48,24.324000000000005,9.612000000000023,25.3,311.674
test_die,182,9,0,159,3.188,241.818,41.792,306.868,38.604,65.04999999999998,22.490000000000002,274.343
test_die,183,9,0,134,-51.131,75.052,-35.230000000000004,97.406,15.900999999999996,22.354,-43.1805,86.22900000000001
test_die,184,9,0,134,-71.215,72.5,-51.131,97.406,20.084000000000003,24.906000000000006,-61.173,84.953
test_die,185,9,0,170,-130.071,33.622,-85.078,97.424,44.992999999999995,63.80200000000001,-107.5745,65.523
test_die,186,9,0,170,-121.12400000000001,22.5,-96.276,33.622,24.848000000000013,11.122,-108.7,28.061
test_die,187,9,0,134,-186.362,258.479,-163.038,266.48,23.323999999999984,8.001000000000033,-174.7,262.47950000000003
test_die,188,9,0,134,-187.335,241.574,-151.23,258.479,36.10500000000002,16.904999999999973,-169.2825,250.0265
test_die,189,9,0,137,-272.9,29.935000000000002,-240.517,95.47800000000001,32.38299999999998,65.543,-256.70849999999996,62.706500000000005
test_die,190,9,0,137,-270.128,22.5,-247.272,29.935000000000002,22.855999999999995,7.435000000000002,-258.7,26.2175
test_die,191,9,0,138,-317.29900000000004,36.834,-272.9,95.47800000000001,44.39900000000006,58.644000000000005,-295.09950000000003,66.156
test_die,192,9,0,137,-317.29900000000004,22.5,-296.065,36.834,21.234000000000037,14.334000000000003,-306.682,29.667
test_die,193,9,0,122,146.505,-124.522,158.465,-73.635,11.960000000000008,50.887,152.485,-99.0785
test_die,194,9,0,122,128.8,-124.522,146.505,-72.5,17.704999999999984,52.022000000000006,137.6525,-98.511
test_die,195,9,0,20,128.347,-138.334,158.465,-124.522,30.117999999999995,13.811999999999998,143.406,-131.428
test_die,196,9,0,135,78.754,-138.334,104.253,-124.522,25.498999999999995,13.811999999999998,91.5035,-131.428
test_die,197,9,0,156,78.754,-822.5,158.465,-138.334,79.711,684.1659999999999,118.6095,-480.41700000000003
test_die,198,9,0,106,38.114000000000004,-91.426,53.800000000000004,-72.5,15.686,18.926000000000002,45.95700000000001,-81.963
test_die,199,9,0,106,27.022000000000002,-91.426,38.114000000000004,-72.913,11.092000000000002,18.513000000000005,32.568000000000005,-82.1695
test_die,200,9,0,14,78.262,-138.629,78.754,-136.072,0.49200000000000443,2.556999999999988,78.50800000000001,-137.3505
test_die,201,9,0,142,-2.406,-138.629,54.338,-91.426,56.744,47.20299999999999,25.966,-115.0275
test_die,202,9,0,154,-2.406,-822.5,78.754,-138.629,81.16000000000001,683.871,38.174,-480.5645
test_die,203,9,0,54,-25.77,-144.663,-2.406,-135.153,23.364,9.51000000000002,-14.088,-139.90800000000002
test_die,204,9,0,101,-75.77,-144.663,-41.63,-135.153,34.13999999999999,9.51000000000002,-58.7,-139.90800000000002
