row,col,x_die,y_die,raw_q
-38,25,25,-38,QY-038X0025
-38,26,26,-38,QY-038X0026
-38,27,27,-38,QY-038X0027
-38,28,28,-38,QY-038X0028
-38,29,29,-38,QY-038X0029
-38,30,30,-38,QY-038X0030
-38,31,31,-38,QY-038X0031
-37,31,31,-37,QY-037X0031
-37,30,30,-37,QY-037X0030
-37,29,29,-37,QY-037X0029
-37,28,28,-37,QY-037X0028
-37,27,27,-37,QY-037X0027
-37,26,26,-37,QY-037X0026
-37,25,25,-37,QY-037X0025
-37,24,24,-37,QY-037X0024
-37,23,23,-37,QY-037X0023
-37,22,22,-37,QY-037X0022
-37,21,21,-37,QY-037X0021
-37,20,20,-37,QY-037X0020
-37,19,19,-37,QY-037X0019
-37,18,18,-37,QY-037X0018
-37,17,17,-37,QY-037X0017
-37,16,16,-37,QY-037X0016
-37,15,15,-37,QY-037X0015
-37,14,14,-37,QY-037X0014
-37,13,13,-37,QY-037X0013
-37,12,12,-37,QY-037X0012
-37,11,11,-37,QY-037X0011
-37,10,10,-37,QY-037X0010
-37,9,9,-37,QY-037X0009
-37,8,8,-37,QY-037X0008
-37,7,7,-37,QY-037X0007
-37,6,6,-37,QY-037X0006
-37,5,5,-37,QY-037X0005
-37,4,4,-37,QY-037X0004
-37,3,3,-37,QY-037X0003
-37,2,2,-37,QY-037X0002
-37,1,1,-37,QY-037X0001
-37,0,0,-37,QY-037X0000
-37,-1,-1,-37,QY-037X-001
-37,-2,-2,-37,QY-037X-002
-37,-3,-3,-37,QY-037X-003
-37,-4,-4,-37,QY-037X-004
-37,-5,-5,-37,QY-037X-005
-37,-6,-6,-37,QY-037X-006
-37,-7,-7,-37,QY-037X-007
-37,-8,-8,-37,QY-037X-008
-37,-9,-9,-37,QY-037X-009
-37,-10,-10,-37,QY-037X-010
-37,-11,-11,-37,QY-037X-011
-37,-12,-12,-37,QY-037X-012
-37,-13,-13,-37,QY-037X-013
-37,-14,-14,-37,QY-037X-014
-37,-15,-15,-37,QY-037X-015
-37,-16,-16,-37,QY-037X-016
-37,-17,-17,-37,QY-037X-017
-37,-18,-18,-37,QY-037X-018
-37,-19,-19,-37,QY-037X-019
-37,-20,-20,-37,QY-037X-020
-37,-21,-21,-37,QY-037X-021
-37,-22,-22,-37,QY-037X-022
-37,-23,-23,-37,QY-037X-023
-37,-24,-24,-37,QY-037X-024
-37,-25,-25,-37,QY-037X-025
-37,-26,-26,-37,QY-037X-026
-37,-27,-27,-37,QY-037X-027
-37,-28,-28,-37,QY-037X-028
-37,-29,-29,-37,QY-037X-029
-37,-30,-30,-37,QY-037X-030
-37,-31,-31,-37,QY-037X-031
-37,-32,-32,-37,QY-037X-032
-37,-33,-33,-37,QY-037X-033
-36,-33,-33,-36,QY-036X-033
-36,-32,-32,-36,QY-036X-032
-36,-31,-31,-36,QY-036X-031
-36,-30,-30,-36,QY-036X-030
-36,-29,-29,-36,QY-036X-029
-36,-28,-28,-36,QY-036X-028
-36,-27,-27,-36,QY-036X-027
-36,-26,-26,-36,QY-036X-026
-36,-25,-25,-36,QY-036X-025
-36,-24,-24,-36,QY-036X-024
-36,-23,-23,-36,QY-036X-023
-36,-22,-22,-36,QY-036X-022
-36,-21,-21,-36,QY-036X-021
-36,-20,-20,-36,QY-036X-020
-36,-19,-19,-36,QY-036X-019
-36,-18,-18,-36,QY-036X-018
-36,-17,-17,-36,QY-036X-017
