step,command,major_index,device_ids,MovesMajorX,MovesMajorY,MovesMinorX,MovesMinorY
350,J,350,93-30,36205,25360,0,0
351,J,351,93-31,38990,25360,0,0
352,J,352,93-32,41775,25360,0,0
353,J,353,93-33,44560,25360,0,0
354,J,354,93-34,47345,25360,0,0
355,J,355,93-35,50130,25360,0,0
356,J,356,94-30,52915,25360,0,0
357,J,357,94-31,55700,25360,0,0
358,J,358,94-32,58485,25360,0,0
359,J,359,94-33,61270,25360,0,0
360,J,360,94-34,64055,25360,0,0
361,J,361,94-35,66840,25360,0,0
362,J,362,95-30,69625,25360,0,0
363,J,363,95-31,72410,25360,0,0
364,J,364,95-32,75195,25360,0,0
365,J,365,95-33,77980,25360,0,0
366,J,366,95-34,80765,25360,0,0
367,J,367,95-35,83550,25360,0,0
368,J,368,96-30,86335,25360,0,0
369,J,369,96-31,89120,25360,0,0
370,J,370,96-32,91905,25360,0,0
371,J,371,96-33,94690,25360,0,0
372,J,372,96-34,97475,25360,0,0
373,J,373,96-35,100260,25360,0,0
374,J,374,97-30,103045,25360,0,0
375,J,375,97-31,105830,25360,0,0
376,J,376,97-32,108615,25360,0,0
377,J,377,97-33,111400,25360,0,0
378,J,378,97-34,114185,25360,0,0
379,J,379,97-35,116970,25360,0,0
380,J,380,97-25,116970,26945,0,0
381,J,381,97-24,114185,26945,0,0
382,J,382,97-23,111400,26945,0,0
383,J,383,97-22,108615,26945,0,0
384,J,384,97-21,105830,26945,0,0
385,J,385,97-20,103045,26945,0,0
386,J,386,96-25,100260,26945,0,0
387,J,387,96-24,97475,26945,0,0
388,J,388,96-23,94690,26945,0,0
389,J,389,96-22,91905,26945,0,0
390,J,390,96-21,89120,26945,0,0
391,J,391,96-20,86335,26945,0,0
392,J,392,95-25,83550,26945,0,0
393,J,393,95-24,80765,26945,0,0
394,J,394,95-23,77980,26945,0,0
395,J,395,95-22,75195,26945,0,0
396,J,396,95-21,72410,26945,0,0
397,J,397,95-20,69625,26945,0,0
398,J,398,94-25,66840,26945,0,0
399,J,399,94-24,64055,26945,0,0
400,J,400,94-23,61270,26945,0,0
401,J,401,94-22,58485,26945,0,0
402,J,402,94-21,55700,26945,0,0
403,J,403,94-20,52915,26945,0,0
404,J,404,93-25,50130,26945,0,0
405,J,405,93-24,47345,26945,0,0
406,J,406,93-23,44560,26945,0,0
407,J,407,93-22,41775,26945,0,0
408,J,408,93-21,38990,26945,0,0
409,J,409,93-20,36205,26945,0,0
410,J,410,92-25,33420,26945,0,0
411,J,411,92-24,30635,26945,0,0
412,J,412,92-23,27850,26945,0,0
413,J,413,92-22,25065,26945,0,0
414,J,414,92-21,22280,26945,0,0
415,J,415,92-20,19495,26945,0,0
416,J,416,91-15,16710,28530,0,0
417,J,417,92-10,19495,28530,0,0
418,J,418,92-11,22280,28530,0,0
419,J,419,92-12,25065,28530,0,0
420,J,420,92-13,27850,28530,0,0
421,J,421,92-14,30635,28530,0,0
422,J,422,92-15,33420,28530,0,0
423,J,423,93-10,36205,28530,0,0
424,J,424,93-11,38990,28530,0,0
425,J,425,93-12,41775,28530,0,0
426,J,426,93-13,44560,28530,0,0
427,J,427,93-14,47345,28530,0,0
428,J,428,93-15,50130,28530,0,0
