kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,fast_current_settle,manual_mode,align_die,wafer_map,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route,instrument_key,terminals
SITE,FULL,,,,82,,,,,,,,,,82,,,,,,1,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,83,,,,,,,,,,83,,,,,,1,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,84,,,,,,,,,,84,,,,,,1,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,85,,,,,,,,,,85,,,,,,1,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,86,,,,,,,,,,86,,,,,,1,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,87,,,,,,,,,,87,,,,,,1,6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,88,,,,,,,,,,88,,,,,,1,7,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,89,,,,,,,,,,89,,,,,,2,-6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,90,,,,,,,,,,90,,,,,,2,-5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,91,,,,,,,,,,91,,,,,,2,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,92,,,,,,,,,,92,,,,,,2,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,93,,,,,,,,,,93,,,,,,2,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,94,,,,,,,,,,94,,,,,,2,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,95,,,,,,,,,,95,,,,,,2,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,96,,,,,,,,,,96,,,,,,2,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,97,,,,,,,,,,97,,,,,,2,2,,,,,,,,,,,,,,,,,,,
